20:58:34.551 Connected Get                0ms False
20:58:34.552 Port Set                     0ms 3
20:58:34.552 PortSpeed Set                0ms 9600
20:58:34.552 ReceiveTimeout Set           0ms 10
20:58:34.572 Connected Set               19ms True
20:58:34.573 Connected Get                0ms True
20:58:34.575 ClearBuffers                 1ms
20:58:34.577 Transmit                     1ms #:GR#
20:58:34.633 ReceiveTerminated           55ms 21:39.1#
20:58:34.635 ClearBuffers                 1ms
20:58:34.635 Connected Get                0ms True
20:58:34.637 ClearBuffers                 1ms
20:58:34.639 Transmit                     1ms #:GR#
20:58:34.713 ReceiveTerminated           73ms 21:39.1#
20:58:36.714 Connected Get                0ms True
20:58:36.716 ClearBuffers                 1ms
20:58:36.718 Transmit                     1ms #:U#
20:58:36.718 Connected Get                0ms True
20:58:36.720 ClearBuffers                 1ms
20:58:36.722 Transmit                     1ms #:GR#
20:58:36.838 ReceiveTerminated          115ms 21:39:04#
20:58:36.860 Connected Get                0ms True
20:58:36.876 Connected Get                0ms True
20:58:36.878 ClearBuffers                 1ms
20:58:36.880 Transmit                     1ms #:GR#
20:58:36.966 ReceiveTerminated           85ms 21:39:04#
20:58:36.969 Connected Get                0ms True
20:58:36.971 ClearBuffers                 1ms
20:58:36.973 Transmit                     1ms #:GD#
20:58:37.047 ReceiveTerminated           73ms -01[DF]36:05#
20:58:37.049 Connected Get                0ms True
20:58:37.051 ClearBuffers                 1ms
20:58:37.053 Transmit                     1ms #:GS#
20:58:37.125 ReceiveTerminated           71ms 19:16:35#
20:58:37.127 Connected Get                0ms True
20:58:37.130 ClearBuffers                 1ms
20:58:37.132 Transmit                     1ms #:GS#
20:58:37.206 ReceiveTerminated           73ms 19:16:35#
20:58:37.927 Connected Get                0ms True
20:58:37.929 ClearBuffers                 1ms
20:58:37.931 Transmit                     1ms #:GR#
20:58:38.005 ReceiveTerminated           73ms 21:39:04#
20:58:38.007 Connected Get                0ms True
20:58:38.009 ClearBuffers                 1ms
20:58:38.011 Transmit                     1ms #:GD#
20:58:38.085 ReceiveTerminated           73ms -01[DF]36:05#
20:58:38.087 Connected Get                0ms True
20:58:38.089 ClearBuffers                 1ms
20:58:38.091 Transmit                     1ms #:GS#
20:58:38.165 ReceiveTerminated           73ms 19:16:36#
20:58:38.167 Connected Get                0ms True
20:58:38.169 ClearBuffers                 1ms
20:58:38.171 Transmit                     1ms #:GS#
20:58:38.245 ReceiveTerminated           73ms 19:16:36#
20:58:38.958 Connected Get                0ms True
20:58:38.960 ClearBuffers                 1ms
20:58:38.962 Transmit                     1ms #:GR#
20:58:39.028 ReceiveTerminated           65ms 21:39:04#
20:58:39.030 Connected Get                0ms True
20:58:39.032 ClearBuffers                 1ms
20:58:39.034 Transmit                     1ms #:GD#
20:58:39.124 ReceiveTerminated           89ms -01[DF]36:05#
20:58:39.127 Connected Get                0ms True
20:58:39.129 ClearBuffers                 1ms
20:58:39.131 Transmit                     1ms #:GS#
20:58:39.203 ReceiveTerminated           71ms 19:16:37#
20:58:39.205 Connected Get                0ms True
20:58:39.207 ClearBuffers                 1ms
20:58:39.209 Transmit                     1ms #:GS#
20:58:39.283 ReceiveTerminated           73ms 19:16:37#
20:58:39.992 Connected Get                0ms True
20:58:39.995 ClearBuffers                 1ms
20:58:39.997 Transmit                     1ms #:GR#
20:58:40.067 ReceiveTerminated           69ms 21:39:04#
20:58:40.069 Connected Get                0ms True
20:58:40.071 ClearBuffers                 1ms
20:58:40.073 Transmit                     1ms #:GD#
20:58:40.147 ReceiveTerminated           73ms -01[DF]36:05#
20:58:40.149 Connected Get                0ms True
20:58:40.152 ClearBuffers                 2ms
20:58:40.154 Transmit                     1ms #:GS#
20:58:40.242 ReceiveTerminated           87ms 19:16:38#
20:58:40.244 Connected Get                0ms True
20:58:40.246 ClearBuffers                 1ms
20:58:40.248 Transmit                     1ms #:GS#
20:58:40.322 ReceiveTerminated           73ms 19:16:39#
20:58:41.055 Connected Get                0ms True
20:58:41.057 ClearBuffers                 1ms
20:58:41.059 Transmit                     1ms #:GR#
20:58:41.169 ReceiveTerminated          109ms 21:39:04#
20:58:41.172 Connected Get                0ms True
20:58:41.174 ClearBuffers                 1ms
20:58:41.176 Transmit                     1ms #:GD#
20:58:41.248 ReceiveTerminated           71ms -01[DF]36:05#
20:58:41.250 Connected Get                0ms True
20:58:41.252 ClearBuffers                 1ms
20:58:41.254 Transmit                     1ms #:GS#
20:58:41.328 ReceiveTerminated           73ms 19:16:40#
20:58:41.331 Connected Get                0ms True
20:58:41.333 ClearBuffers                 1ms
20:58:41.335 Transmit                     1ms #:GS#
20:58:41.377 ReceiveTerminated           41ms 19:16:40#
20:58:42.091 Connected Get                0ms True
20:58:42.093 ClearBuffers                 1ms
20:58:42.095 Transmit                     1ms #:GR#
20:58:42.159 ReceiveTerminated           63ms 21:39:04#
20:58:42.162 Connected Get                0ms True
20:58:42.164 ClearBuffers                 1ms
20:58:42.166 Transmit                     1ms #:GD#
20:58:42.240 ReceiveTerminated           73ms -01[DF]36:05#
20:58:42.242 Connected Get                0ms True
20:58:42.245 ClearBuffers                 1ms
20:58:42.247 Transmit                     1ms #:GS#
20:58:42.319 ReceiveTerminated           71ms 19:16:41#
20:58:42.321 Connected Get                0ms True
20:58:42.323 ClearBuffers                 1ms
20:58:42.325 Transmit                     1ms #:GS#
20:58:42.399 ReceiveTerminated           73ms 19:16:41#
20:58:43.121 Connected Get                0ms True
20:58:43.123 ClearBuffers                 1ms
20:58:43.125 Transmit                     1ms #:GR#
20:58:43.197 ReceiveTerminated           71ms 21:39:04#
20:58:43.199 Connected Get                0ms True
20:58:43.201 ClearBuffers                 1ms
20:58:43.203 Transmit                     1ms #:GD#
20:58:43.277 ReceiveTerminated           73ms -01[DF]36:05#
20:58:43.280 Connected Get                0ms True
20:58:43.282 ClearBuffers                 1ms
20:58:43.284 Transmit                     1ms #:GS#
20:58:43.326 ReceiveTerminated           41ms 19:16:42#
20:58:43.328 Connected Get                0ms True
20:58:43.330 ClearBuffers                 1ms
20:58:43.332 Transmit                     1ms #:GS#
20:58:43.406 ReceiveTerminated           73ms 19:16:42#
20:58:44.221 Connected Get                0ms True
20:58:44.223 ClearBuffers                 1ms
20:58:44.225 Transmit                     1ms #:GR#
20:58:44.315 ReceiveTerminated           89ms 21:39:04#
20:58:44.317 Connected Get                0ms True
20:58:44.319 ClearBuffers                 1ms
20:58:44.321 Transmit                     1ms #:GD#
20:58:44.395 ReceiveTerminated           73ms -01[DF]36:05#
20:58:44.397 Connected Get                0ms True
20:58:44.399 ClearBuffers                 1ms
20:58:44.401 Transmit                     1ms #:GS#
20:58:44.475 ReceiveTerminated           73ms 19:16:43#
20:58:44.477 Connected Get                0ms True
20:58:44.479 ClearBuffers                 1ms
20:58:44.481 Transmit                     1ms #:GS#
20:58:44.557 ReceiveTerminated           75ms 19:16:43#
20:58:45.273 Connected Get                0ms True
20:58:45.275 ClearBuffers                 1ms
20:58:45.277 Transmit                     1ms #:GR#
20:58:45.355 ReceiveTerminated           77ms 21:39:04#
20:58:45.358 Connected Get                0ms True
20:58:45.360 ClearBuffers                 1ms
20:58:45.362 Transmit                     1ms #:GD#
20:58:45.436 ReceiveTerminated           73ms -01[DF]36:05#
20:58:45.439 Connected Get                0ms True
20:58:45.441 ClearBuffers                 1ms
20:58:45.443 Transmit                     1ms #:GS#
20:58:45.515 ReceiveTerminated           71ms 19:16:44#
20:58:45.517 Connected Get                0ms True
20:58:45.519 ClearBuffers                 1ms
20:58:45.521 Transmit                     1ms #:GS#
20:58:45.595 ReceiveTerminated           73ms 19:16:44#
20:58:46.311 Connected Get                0ms True
20:58:46.313 ClearBuffers                 1ms
20:58:46.315 Transmit                     1ms #:GR#
20:58:46.395 ReceiveTerminated           79ms 21:39:04#
20:58:46.397 Connected Get                0ms True
20:58:46.399 ClearBuffers                 1ms
20:58:46.401 Transmit                     1ms #:GD#
20:58:46.473 ReceiveTerminated           71ms -01[DF]36:05#
20:58:46.475 Connected Get                0ms True
20:58:46.477 ClearBuffers                 1ms
20:58:46.479 Transmit                     1ms #:GS#
20:58:46.521 ReceiveTerminated           41ms 19:16:45#
20:58:46.523 Connected Get                0ms True
20:58:46.525 ClearBuffers                 1ms
20:58:46.527 Transmit                     1ms #:GS#
20:58:46.585 ReceiveTerminated           57ms 19:16:45#
20:58:47.400 Connected Get                0ms True
20:58:47.402 ClearBuffers                 1ms
20:58:47.404 Transmit                     1ms #:GR#
20:58:47.480 ReceiveTerminated           75ms 21:39:04#
20:58:47.482 Connected Get                0ms True
20:58:47.484 ClearBuffers                 1ms
20:58:47.486 Transmit                     1ms #:GD#
20:58:47.592 ReceiveTerminated          105ms -01[DF]36:05#
20:58:47.594 Connected Get                0ms True
20:58:47.596 ClearBuffers                 1ms
20:58:47.598 Transmit                     1ms #:GS#
20:58:47.672 ReceiveTerminated           73ms 19:16:46#
20:58:47.674 Connected Get                0ms True
20:58:47.676 ClearBuffers                 1ms
20:58:47.678 Transmit                     1ms #:GS#
20:58:47.752 ReceiveTerminated           73ms 19:16:46#
20:58:48.466 Connected Get                0ms True
20:58:48.468 ClearBuffers                 1ms
20:58:48.470 Transmit                     1ms #:GR#
20:58:48.550 ReceiveTerminated           79ms 21:39:04#
20:58:48.552 Connected Get                0ms True
20:58:48.554 ClearBuffers                 1ms
20:58:48.556 Transmit                     1ms #:GD#
20:58:48.630 ReceiveTerminated           73ms -01[DF]36:05#
20:58:48.632 Connected Get                0ms True
20:58:48.634 ClearBuffers                 1ms
20:58:48.636 Transmit                     1ms #:GS#
20:58:48.678 ReceiveTerminated           41ms 19:16:47#
20:58:48.680 Connected Get                0ms True
20:58:48.682 ClearBuffers                 1ms
20:58:48.684 Transmit                     1ms #:GS#
20:58:48.758 ReceiveTerminated           73ms 19:16:47#
20:58:49.474 Connected Get                0ms True
20:58:49.476 ClearBuffers                 1ms
20:58:49.478 Transmit                     1ms #:GR#
20:58:49.558 ReceiveTerminated           79ms 21:39:04#
20:58:49.560 Connected Get                0ms True
20:58:49.562 ClearBuffers                 1ms
20:58:49.564 Transmit                     1ms #:GD#
20:58:49.638 ReceiveTerminated           73ms -01[DF]36:05#
20:58:49.640 Connected Get                0ms True
20:58:49.642 ClearBuffers                 1ms
20:58:49.644 Transmit                     1ms #:GS#
20:58:49.718 ReceiveTerminated           73ms 19:16:48#
20:58:49.720 Connected Get                0ms True
20:58:49.722 ClearBuffers                 1ms
20:58:49.724 Transmit                     1ms #:GS#
20:58:49.796 ReceiveTerminated           71ms 19:16:48#
20:58:50.510 Connected Get                0ms True
20:58:50.512 ClearBuffers                 1ms
20:58:50.514 Transmit                     1ms #:GR#
20:58:50.596 ReceiveTerminated           81ms 21:39:04#
20:58:50.598 Connected Get                0ms True
20:58:50.600 ClearBuffers                 1ms
20:58:50.602 Transmit                     1ms #:GD#
20:58:50.676 ReceiveTerminated           73ms -01[DF]36:05#
