21:12:33.161 Connected Get                0ms False
21:12:33.162 Port Set                     0ms 3
21:12:33.162 PortSpeed Set                0ms 9600
21:12:33.162 ReceiveTimeout Set           0ms 10
21:12:33.186 Connected Set               23ms True
21:12:33.187 Connected Get                0ms True
21:12:33.189 ClearBuffers                 1ms
21:12:33.191 Transmit                     1ms #:GR#
21:12:33.279 ReceiveTerminated           87ms 21:39.2#
21:12:33.281 ClearBuffers                 1ms
21:12:33.281 Connected Get                0ms True
21:12:33.283 ClearBuffers                 1ms
21:12:33.285 Transmit                     1ms #:GR#
21:12:33.375 ReceiveTerminated           89ms 21:39.2#
21:12:35.376 Connected Get                0ms True
21:12:35.378 ClearBuffers                 1ms
21:12:35.380 Transmit                     1ms #:U#
21:12:35.380 Connected Get                0ms True
21:12:35.382 ClearBuffers                 1ms
21:12:35.384 Transmit                     1ms #:GR#
21:12:35.516 ReceiveTerminated          131ms 21:39:09#
21:12:35.530 Connected Get                0ms True
21:12:35.552 Connected Get                0ms True
21:12:35.554 ClearBuffers                 1ms
21:12:35.556 Transmit                     1ms #:GR#
21:12:35.660 ReceiveTerminated          103ms 21:39:09#
21:12:35.663 Connected Get                0ms True
21:12:35.665 ClearBuffers                 1ms
21:12:35.667 Transmit                     1ms #:GD#
21:12:35.739 ReceiveTerminated           71ms -01[DF]36:53#
21:12:35.746 Connected Get                0ms True
21:12:35.748 ClearBuffers                 1ms
21:12:35.750 Transmit                     1ms #:GS#
21:12:35.820 ReceiveTerminated           69ms 19:30:36#
21:12:35.822 Connected Get                0ms True
21:12:35.824 ClearBuffers                 1ms
21:12:35.826 Transmit                     1ms #:GS#
21:12:35.898 ReceiveTerminated           71ms 19:30:36#
21:12:36.613 Connected Get                0ms True
21:12:36.615 ClearBuffers                 1ms
21:12:36.617 Transmit                     1ms #:GR#
21:12:36.697 ReceiveTerminated           79ms 21:39:09#
21:12:36.699 Connected Get                0ms True
21:12:36.701 ClearBuffers                 1ms
21:12:36.703 Transmit                     1ms #:GD#
