20:45:17.293 Port                      Set to: 3
20:45:17.294 Speed                     Set to: ps9600
20:45:17.294 ReceiveTimeout            Set to: 10 seconds
20:45:17.300 Set Connected To          True
20:45:17.301 Set Connected             Using COM port: COM3 Baud rate: ps9600 Timeout: 10000 DTR: True ForcedDTR: False RTS: False ForcedRTS: False Handshake: None Encoding: 1252
20:45:17.301 Set Connected             Transmission format - Bits: 8 Parity: None Stop bits: One
20:45:17.307 AvailableCOMPorts         COM1
20:45:17.307 AvailableCOMPorts         COM3
20:45:17.307 AvailableCOMPorts         COM9
20:45:17.323 Set Connected             OK
20:45:17.327 ClearBuffers              Completed
20:45:17.329 Transmit                  > #:GR#
20:45:17.331 ReceiveTerminated #       < 21:38.9#
20:45:17.417 ClearBuffers              Completed
20:45:17.419 ClearBuffers              Completed
20:45:17.421 Transmit                  > #:GR#
20:45:17.423 ReceiveTerminated #       < 21:38.9#
20:45:19.497 ClearBuffers              Completed
20:45:19.499 Transmit                  > #:U#
20:45:19.501 ClearBuffers              Completed
20:45:19.503 Transmit                  > #:GR#
20:45:19.505 ReceiveTerminated #       < 21:38:56#
20:45:19.661 ClearBuffers              Completed
20:45:19.663 Transmit                  > #:GR#
20:45:19.665 ReceiveTerminated #       < 21:38:56#
20:45:19.770 ClearBuffers              Completed
20:45:19.772 Transmit                  > #:GD#
20:45:19.774 ReceiveTerminated #       < -01[DF]35:20#
20:45:19.865 ClearBuffers              Completed
20:45:19.867 Transmit                  > #:GS#
20:45:19.869 ReceiveTerminated #       < 19:03:16#
20:45:19.948 ClearBuffers              Completed
20:45:19.950 Transmit                  > #:GS#
20:45:19.952 ReceiveTerminated #       < 19:03:16#
20:45:20.739 ClearBuffers              Completed
20:45:20.741 Transmit                  > #:GR#
20:45:20.743 ReceiveTerminated #       < 21:38:56#
20:45:20.807 ClearBuffers              Completed
20:45:20.809 Transmit                  > #:GD#
20:45:20.811 ReceiveTerminated #       < -01[DF]35:20#
20:45:20.885 ClearBuffers              Completed
20:45:20.887 Transmit                  > #:GS#
20:45:20.889 ReceiveTerminated #       < 19:03:17#
20:45:20.949 ClearBuffers              Completed
20:45:20.951 Transmit                  > #:GS#
20:45:20.953 ReceiveTerminated #       < 19:03:17#
20:45:21.809 ClearBuffers              Completed
20:45:21.811 Transmit                  > #:GR#
20:45:21.813 ReceiveTerminated #       < 21:38:56#
20:45:21.909 ClearBuffers              Completed
20:45:21.911 Transmit                  > #:GD#
20:45:21.913 ReceiveTerminated #       < -01[DF]35:20#
20:45:21.989 ClearBuffers              Completed
20:45:21.991 Transmit                  > #:GS#
20:45:21.993 ReceiveTerminated #       < 19:03:18#
20:45:22.070 ClearBuffers              Completed
20:45:22.072 Transmit                  > #:GS#
20:45:22.074 ReceiveTerminated #       < 19:03:18#
20:45:22.831 ClearBuffers              Completed
20:45:22.832 Transmit                  > #:GR#
20:45:22.834 ReceiveTerminated #       < 21:38:56#
20:45:22.900 ClearBuffers              Completed
20:45:22.902 Transmit                  > #:GD#
20:45:22.904 ReceiveTerminated #       < -01[DF]35:20#
20:45:22.981 ClearBuffers              Completed
20:45:22.983 Transmit                  > #:GS#
20:45:22.985 ReceiveTerminated #       < 19:03:19#
20:45:23.059 ClearBuffers              Completed
20:45:23.061 Transmit                  > #:GS#
20:45:23.063 ReceiveTerminated #       < 19:03:19#
20:45:23.878 ClearBuffers              Completed
20:45:23.880 Transmit                  > #:GR#
20:45:23.882 ReceiveTerminated #       < 21:38:56#
20:45:23.986 ClearBuffers              Completed
20:45:23.988 Transmit                  > #:GD#
20:45:23.990 ReceiveTerminated #       < -01[DF]35:20#
20:45:24.098 ClearBuffers              Completed
20:45:24.100 Transmit                  > #:GS#
20:45:24.102 ReceiveTerminated #       < 19:03:20#
20:45:24.178 ClearBuffers              Completed
20:45:24.180 Transmit                  > #:GS#
20:45:24.182 ReceiveTerminated #       < 19:03:21#
20:45:24.973 ClearBuffers              Completed
20:45:24.975 Transmit                  > #:GR#
20:45:24.977 ReceiveTerminated #       < 21:38:56#
20:45:25.058 ClearBuffers              Completed
20:45:25.060 Transmit                  > #:GD#
20:45:25.062 ReceiveTerminated #       < -01[DF]35:20#
20:45:25.136 ClearBuffers              Completed
20:45:25.138 Transmit                  > #:GS#
20:45:25.140 ReceiveTerminated #       < 19:03:21#
