21:12:33.162 Port                      Set to: 3
21:12:33.162 Speed                     Set to: ps9600
21:12:33.162 ReceiveTimeout            Set to: 10 seconds
21:12:33.169 Set Connected To          True
21:12:33.169 Set Connected             Using COM port: COM3 Baud rate: ps9600 Timeout: 10000 DTR: True ForcedDTR: False RTS: False ForcedRTS: False Handshake: None Encoding: 1252
21:12:33.169 Set Connected             Transmission format - Bits: 8 Parity: None Stop bits: One
21:12:33.176 AvailableCOMPorts         COM1
21:12:33.176 AvailableCOMPorts         COM3
21:12:33.176 AvailableCOMPorts         COM9
21:12:33.185 Set Connected             OK
21:12:33.187 ClearBuffers              Completed
21:12:33.189 Transmit                  > #:GR#
21:12:33.191 ReceiveTerminated #       < 21:39.2#
21:12:33.279 ClearBuffers              Completed
21:12:33.281 ClearBuffers              Completed
21:12:33.283 Transmit                  > #:GR#
21:12:33.285 ReceiveTerminated #       < 21:39.2#
21:12:35.376 ClearBuffers              Completed
21:12:35.378 Transmit                  > #:U#
21:12:35.380 ClearBuffers              Completed
21:12:35.382 Transmit                  > #:GR#
21:12:35.384 ReceiveTerminated #       < 21:39:09#
21:12:35.552 ClearBuffers              Completed
21:12:35.554 Transmit                  > #:GR#
21:12:35.556 ReceiveTerminated #       < 21:39:09#
21:12:35.663 ClearBuffers              Completed
21:12:35.665 Transmit                  > #:GD#
21:12:35.667 ReceiveTerminated #       < -01[DF]36:53#
21:12:35.746 ClearBuffers              Completed
21:12:35.748 Transmit                  > #:GS#
21:12:35.750 ReceiveTerminated #       < 19:30:36#
21:12:35.822 ClearBuffers              Completed
21:12:35.824 Transmit                  > #:GS#
21:12:35.826 ReceiveTerminated #       < 19:30:36#
21:12:36.613 ClearBuffers              Completed
21:12:36.615 Transmit                  > #:GR#
21:12:36.617 ReceiveTerminated #       < 21:39:09#
21:12:36.699 ClearBuffers              Completed
21:12:36.701 Transmit                  > #:GD#
21:12:36.703 ReceiveTerminated #       < -01[DF]36:53#
21:12:36.779 ClearBuffers              Completed
21:12:36.781 Transmit                  > #:GS#
21:12:36.783 ReceiveTerminated #       < 19:30:37#
21:12:36.827 ClearBuffers              Completed
21:12:36.829 Transmit                  > #:GS#
21:12:36.831 ReceiveTerminated #       < 19:30:37#
21:12:37.619 ClearBuffers              Completed
21:12:37.621 Transmit                  > #:GR#
21:12:37.623 ReceiveTerminated #       < 21:39:09#
21:12:37.691 ClearBuffers              Completed
21:12:37.693 Transmit                  > #:GD#
21:12:37.695 ReceiveTerminated #       < -01[DF]36:53#
21:12:37.787 ClearBuffers              Completed
21:12:37.789 Transmit                  > #:GS#
21:12:37.791 ReceiveTerminated #       < 19:30:38#
21:12:37.867 ClearBuffers              Completed
21:12:37.869 Transmit                  > #:GS#
21:12:37.871 ReceiveTerminated #       < 19:30:38#
21:12:38.639 ClearBuffers              Completed
21:12:38.641 Transmit                  > #:GR#
21:12:38.643 ReceiveTerminated #       < 21:39:09#
21:12:38.743 ClearBuffers              Completed
21:12:38.745 Transmit                  > #:GD#
21:12:38.747 ReceiveTerminated #       < -01[DF]36:53#
21:12:38.857 ClearBuffers              Completed
21:12:38.859 Transmit                  > #:GS#
21:12:38.861 ReceiveTerminated #       < 19:30:39#
21:12:38.910 ClearBuffers              Completed
21:12:38.912 Transmit                  > #:GS#
21:12:38.914 ReceiveTerminated #       < 19:30:39#
21:12:39.697 ClearBuffers              Completed
21:12:39.699 Transmit                  > #:GR#
21:12:39.701 ReceiveTerminated #       < 21:39:09#
21:12:39.832 ClearBuffers              Completed
21:12:39.833 Transmit                  > #:GD#
21:12:39.835 ReceiveTerminated #       < -01[DF]36:53#
21:12:39.914 ClearBuffers              Completed
21:12:39.916 Transmit                  > #:GS#
21:12:39.918 ReceiveTerminated #       < 19:30:40#
21:12:39.980 ClearBuffers              Completed
21:12:39.982 Transmit                  > #:GS#
21:12:39.984 ReceiveTerminated #       < 19:30:40#
21:12:40.740 ClearBuffers              Completed
21:12:40.742 Transmit                  > #:GR#
21:12:40.744 ReceiveTerminated #       < 21:39:09#
21:12:40.806 ClearBuffers              Completed
21:12:40.808 Transmit                  > #:GD#
21:12:40.810 ReceiveTerminated #       < -01[DF]36:53#
21:12:40.902 ClearBuffers              Completed
21:12:40.904 Transmit                  > #:GS#
21:12:40.906 ReceiveTerminated #       < 19:30:41#
21:12:41.023 ClearBuffers              Completed
21:12:41.025 Transmit                  > #:GS#
21:12:41.027 ReceiveTerminated #       < 19:30:41#
21:12:41.807 ClearBuffers              Completed
21:12:41.809 Transmit                  > #:GR#
21:12:41.811 ReceiveTerminated #       < 21:39:10#
21:12:41.894 ClearBuffers              Completed
21:12:41.896 Transmit                  > #:GD#
21:12:41.898 ReceiveTerminated #       < -01[DF]36:53#
21:12:41.973 ClearBuffers              Completed
21:12:41.975 Transmit                  > #:GS#
21:12:41.977 ReceiveTerminated #       < 19:30:42#
21:12:42.021 ClearBuffers              Completed
21:12:42.023 Transmit                  > #:GS#
21:12:42.025 ReceiveTerminated #       < 19:30:42#
21:12:42.898 ClearBuffers              Completed
21:12:42.899 Transmit                  > #:GR#
21:12:42.901 ReceiveTerminated #       < 21:39:10#
21:12:42.979 ClearBuffers              Completed
