21:48:30.478 Connected Get                0ms False
21:48:30.479 Port Set                     0ms 3
21:48:30.480 PortSpeed Set                0ms 9600
21:48:30.480 ReceiveTimeout Set           0ms 10
21:48:30.507 Connected Set               26ms True
21:48:30.508 Connected Get                0ms True
21:48:30.510 ClearBuffers                 1ms
21:48:30.512 Transmit                     1ms #:GR#
21:48:30.616 ReceiveTerminated          103ms 21:39.3#
21:48:30.618 ClearBuffers                 1ms
21:48:30.618 Connected Get                0ms True
21:48:30.620 ClearBuffers                 1ms
21:48:30.622 Transmit                     1ms #:GR#
21:48:30.696 ReceiveTerminated           73ms 21:39.3#
21:48:32.697 Connected Get                0ms True
21:48:32.699 ClearBuffers                 1ms
21:48:32.701 Transmit                     2ms #:U#
21:48:32.702 Connected Get                0ms True
21:48:32.704 ClearBuffers                 1ms
21:48:32.706 Transmit                     1ms #:GR#
21:48:32.822 ReceiveTerminated          115ms 21:39:17#
21:48:32.836 Connected Get                0ms True
21:48:32.858 Connected Get                0ms True
21:48:32.860 ClearBuffers                 1ms
21:48:32.862 Transmit                     1ms #:GR#
21:48:32.950 ReceiveTerminated           87ms 21:39:17#
21:48:32.954 Connected Get                0ms True
21:48:32.956 ClearBuffers                 1ms
21:48:32.958 Transmit                     1ms #:GD#
21:48:33.030 ReceiveTerminated           71ms -01[DF]38:23#
21:48:33.033 Connected Get                0ms True
21:48:33.035 ClearBuffers                 1ms
21:48:33.037 Transmit                     1ms #:GS#
21:48:33.109 ReceiveTerminated           71ms 20:06:39#
21:48:33.112 Connected Get                0ms True
21:48:33.114 ClearBuffers                 1ms
21:48:33.116 Transmit                     1ms #:GS#
21:48:33.188 ReceiveTerminated           71ms 20:06:39#
21:48:33.913 Connected Get                0ms True
21:48:33.915 ClearBuffers                 1ms
21:48:33.917 Transmit                     1ms #:GR#
21:48:33.987 ReceiveTerminated           69ms 21:39:18#
21:48:33.989 Connected Get                0ms True
21:48:33.991 ClearBuffers                 1ms
21:48:33.993 Transmit                     1ms #:GD#
21:48:34.067 ReceiveTerminated           73ms -01[DF]38:23#
21:48:34.069 Connected Get                0ms True
21:48:34.071 ClearBuffers                 1ms
21:48:34.073 Transmit                     1ms #:GS#
21:48:34.147 ReceiveTerminated           73ms 20:06:40#
21:48:34.149 Connected Get                0ms True
21:48:34.151 ClearBuffers                 1ms
21:48:34.153 Transmit                     1ms #:GS#
21:48:34.227 ReceiveTerminated           73ms 20:06:40#
21:48:34.941 Connected Get                0ms True
21:48:34.943 ClearBuffers                 1ms
21:48:34.945 Transmit                     1ms #:GR#
21:48:35.011 ReceiveTerminated           65ms 21:39:18#
21:48:35.014 Connected Get                0ms True
21:48:35.016 ClearBuffers                 1ms
21:48:35.018 Transmit                     1ms #:GD#
21:48:35.106 ReceiveTerminated           87ms -01[DF]38:23#
21:48:35.108 Connected Get                0ms True
21:48:35.110 ClearBuffers                 1ms
21:48:35.112 Transmit                     1ms #:GS#
21:48:35.186 ReceiveTerminated           73ms 20:06:41#
21:48:35.188 Connected Get                0ms True
21:48:35.190 ClearBuffers                 1ms
21:48:35.192 Transmit                     1ms #:GS#
21:48:35.266 ReceiveTerminated           73ms 20:06:41#
21:48:35.981 Connected Get                0ms True
21:48:35.983 ClearBuffers                 1ms
21:48:35.985 Transmit                     1ms #:GR#
21:48:36.049 ReceiveTerminated           63ms 21:39:17#
21:48:36.051 Connected Get                0ms True
21:48:36.053 ClearBuffers                 1ms
21:48:36.055 Transmit                     1ms #:GD#
21:48:36.145 ReceiveTerminated           89ms -01[DF]38:23#
21:48:36.147 Connected Get                0ms True
21:48:36.149 ClearBuffers                 1ms
21:48:36.151 Transmit                     1ms #:GS#
21:48:36.225 ReceiveTerminated           73ms 20:06:42#
21:48:36.227 Connected Get                0ms True
21:48:36.229 ClearBuffers                 1ms
21:48:36.231 Transmit                     1ms #:GS#
21:48:36.305 ReceiveTerminated           73ms 20:06:42#
21:48:37.019 Connected Get                0ms True
21:48:37.021 ClearBuffers                 1ms
21:48:37.023 Transmit                     1ms #:GR#
21:48:37.087 ReceiveTerminated           63ms 21:39:18#
21:48:37.089 Connected Get                0ms True
21:48:37.091 ClearBuffers                 1ms
21:48:37.093 Transmit                     1ms #:GD#
21:48:37.183 ReceiveTerminated           89ms -01[DF]38:23#
21:48:37.185 Connected Get                0ms True
21:48:37.187 ClearBuffers                 1ms
21:48:37.189 Transmit                     1ms #:GS#
21:48:37.263 ReceiveTerminated           73ms 20:06:43#
21:48:37.265 Connected Get                0ms True
21:48:37.267 ClearBuffers                 1ms
21:48:37.269 Transmit                     1ms #:GS#
21:48:37.343 ReceiveTerminated           73ms 20:06:43#
21:48:38.057 Connected Get                0ms True
21:48:38.059 ClearBuffers                 1ms
21:48:38.061 Transmit                     1ms #:GR#
21:48:38.125 ReceiveTerminated           63ms 21:39:18#
21:48:38.127 Connected Get                0ms True
21:48:38.129 ClearBuffers                 1ms
21:48:38.131 Transmit                     1ms #:GD#
21:48:38.221 ReceiveTerminated           89ms -01[DF]38:23#
21:48:38.223 Connected Get                0ms True
21:48:38.225 ClearBuffers                 1ms
21:48:38.227 Transmit                     1ms #:GS#
21:48:38.301 ReceiveTerminated           73ms 20:06:44#
21:48:38.303 Connected Get                0ms True
21:48:38.305 ClearBuffers                 1ms
21:48:38.307 Transmit                     1ms #:GS#
21:48:38.381 ReceiveTerminated           73ms 20:06:44#
21:48:39.095 Connected Get                0ms True
21:48:39.097 ClearBuffers                 1ms
21:48:39.099 Transmit                     1ms #:GR#
21:48:39.179 ReceiveTerminated           79ms 21:39:18#
21:48:39.181 Connected Get                0ms True
21:48:39.183 ClearBuffers                 1ms
21:48:39.185 Transmit                     1ms #:GD#
21:48:39.259 ReceiveTerminated           73ms -01[DF]38:23#
21:48:39.261 Connected Get                0ms True
21:48:39.263 ClearBuffers                 1ms
21:48:39.265 Transmit                     1ms #:GS#
21:48:39.339 ReceiveTerminated           73ms 20:06:45#
21:48:39.341 Connected Get                0ms True
21:48:39.343 ClearBuffers                 1ms
21:48:39.345 Transmit                     1ms #:GS#
21:48:39.419 ReceiveTerminated           73ms 20:06:45#
21:48:39.812 Connected Get                0ms True
21:48:39.815 Connected Get                0ms True
21:48:39.817 ClearBuffers                 1ms
21:48:39.819 Transmit                     1ms #:RG#
21:48:39.820 Connected Get                0ms True
21:48:39.822 ClearBuffers                 1ms
21:48:39.824 Transmit                     1ms #:Mn#
21:48:40.134 Connected Get                0ms True
21:48:40.136 ClearBuffers                 1ms
21:48:40.138 Transmit                     1ms #:GR#
21:48:40.218 ReceiveTerminated           79ms 21:39:18#
21:48:40.221 Connected Get                0ms True
21:48:40.223 ClearBuffers                 1ms
21:48:40.225 Transmit                     1ms #:GD#
21:48:40.299 ReceiveTerminated           73ms -01[DF]38:23#
21:48:40.301 Connected Get                0ms True
21:48:40.303 ClearBuffers                 1ms
21:48:40.305 Transmit                     1ms #:GS#
21:48:40.347 ReceiveTerminated           41ms 20:06:46#
21:48:40.349 Connected Get                0ms True
21:48:40.351 ClearBuffers                 1ms
21:48:40.353 Transmit                     1ms #:GS#
21:48:40.427 ReceiveTerminated           73ms 20:06:46#
21:48:41.141 Connected Get                0ms True
21:48:41.143 ClearBuffers                 1ms
21:48:41.145 Transmit                     1ms #:GR#
21:48:41.225 ReceiveTerminated           79ms 21:39:18#
21:48:41.227 Connected Get                0ms True
21:48:41.229 ClearBuffers                 1ms
21:48:41.231 Transmit                     1ms #:GD#
21:48:41.337 ReceiveTerminated          105ms -01[DF]38:18#
21:48:41.339 Connected Get                0ms True
21:48:41.341 ClearBuffers                 1ms
21:48:41.343 Transmit                     1ms #:GS#
21:48:41.385 ReceiveTerminated           41ms 20:06:47#
21:48:41.387 Connected Get                0ms True
21:48:41.389 ClearBuffers                 1ms
21:48:41.391 Transmit                     1ms #:GS#
21:48:41.449 ReceiveTerminated           57ms 20:06:47#
21:48:42.164 Connected Get                0ms True
21:48:42.166 ClearBuffers                 1ms
21:48:42.168 Transmit                     1ms #:GR#
21:48:42.264 ReceiveTerminated           95ms 21:39:18#
21:48:42.267 Connected Get                0ms True
21:48:42.269 ClearBuffers                 1ms
21:48:42.271 Transmit                     1ms #:GD#
21:48:42.375 ReceiveTerminated          103ms -01[DF]38:11#
21:48:42.377 Connected Get                0ms True
21:48:42.379 ClearBuffers                 1ms
21:48:42.381 Transmit                     1ms #:GS#
21:48:42.423 ReceiveTerminated           41ms 20:06:48#
21:48:42.425 Connected Get                0ms True
21:48:42.427 ClearBuffers                 1ms
21:48:42.429 Transmit                     1ms #:GS#
21:48:42.487 ReceiveTerminated           57ms 20:06:49#
21:48:43.203 Connected Get                0ms True
21:48:43.205 ClearBuffers                 1ms
21:48:43.207 Transmit                     1ms #:GR#
21:48:43.303 ReceiveTerminated           95ms 21:39:18#
21:48:43.305 Connected Get                0ms True
21:48:43.307 ClearBuffers                 1ms
21:48:43.309 Transmit                     1ms #:GD#
21:48:43.415 ReceiveTerminated          105ms -01[DF]38:02#
21:48:43.417 Connected Get                0ms True
21:48:43.419 ClearBuffers                 1ms
21:48:43.421 Transmit                     1ms #:GS#
21:48:43.463 ReceiveTerminated           41ms 20:06:49#
21:48:43.465 Connected Get                0ms True
21:48:43.467 ClearBuffers                 1ms
21:48:43.469 Transmit                     1ms #:GS#
21:48:43.527 ReceiveTerminated           57ms 20:06:50#
21:48:44.242 Connected Get                0ms True
21:48:44.244 ClearBuffers                 1ms
21:48:44.246 Transmit                     1ms #:GR#
21:48:44.340 ReceiveTerminated           93ms 21:39:18#
21:48:44.342 Connected Get                0ms True
21:48:44.344 ClearBuffers                 1ms
21:48:44.346 Transmit                     1ms #:GD#
21:48:44.420 ReceiveTerminated           73ms -01[DF]37:55#
21:48:44.422 Connected Get                0ms True
21:48:44.424 ClearBuffers                 1ms
21:48:44.426 Transmit                     1ms #:GS#
21:48:44.484 ReceiveTerminated           57ms 20:06:51#
21:48:44.486 Connected Get                0ms True
21:48:44.488 ClearBuffers                 1ms
21:48:44.490 Transmit                     1ms #:GS#
21:48:44.564 ReceiveTerminated           73ms 20:06:51#
21:48:45.276 Connected Get                0ms True
