20:45:27.136 ClearBuffers                 1ms
20:45:27.138 Transmit                     1ms #:GD#
20:45:27.212 ReceiveTerminated           73ms -01[DF]35:20#
20:45:27.214 Connected Get                0ms True
20:45:27.217 ClearBuffers                 2ms
20:45:27.219 Transmit                     1ms #:GS#
20:45:27.259 ReceiveTerminated           39ms 19:03:24#
20:45:27.261 Connected Get                0ms True
20:45:27.263 ClearBuffers                 1ms
20:45:27.265 Transmit                     1ms #:GS#
20:45:27.339 ReceiveTerminated           73ms 19:03:24#
20:45:28.154 Connected Get                0ms True
20:45:28.156 ClearBuffers                 1ms
20:45:28.158 Transmit                     1ms #:GR#
20:45:28.250 ReceiveTerminated           91ms 21:38:56#
20:45:28.252 Connected Get                0ms True
20:45:28.254 ClearBuffers                 1ms
20:45:28.256 Transmit                     1ms #:GD#
20:45:28.330 ReceiveTerminated           73ms -01[DF]35:20#
20:45:28.332 Connected Get                0ms True
20:45:28.334 ClearBuffers                 1ms
20:45:28.336 Transmit                     1ms #:GS#
20:45:28.410 ReceiveTerminated           73ms 19:03:25#
20:45:28.412 Connected Get                0ms True
20:45:28.414 ClearBuffers                 1ms
20:45:28.416 Transmit                     1ms #:GS#
20:45:28.506 ReceiveTerminated           89ms 19:03:25#
20:45:29.220 Connected Get                0ms True
20:45:29.222 ClearBuffers                 1ms
20:45:29.224 Transmit                     1ms #:GR#
20:45:29.304 ReceiveTerminated           79ms 21:38:56#
20:45:29.306 Connected Get                0ms True
20:45:29.308 ClearBuffers                 1ms
20:45:29.310 Transmit                     1ms #:GD#
20:45:29.384 ReceiveTerminated           73ms -01[DF]35:20#
20:45:29.386 Connected Get                0ms True
20:45:29.388 ClearBuffers                 1ms
20:45:29.390 Transmit                     1ms #:GS#
20:45:29.464 ReceiveTerminated           73ms 19:03:26#
20:45:29.466 Connected Get                0ms True
20:45:29.468 ClearBuffers                 1ms
20:45:29.470 Transmit                     1ms #:GS#
20:45:29.544 ReceiveTerminated           73ms 19:03:26#
20:45:30.260 Connected Get                0ms True
20:45:30.262 ClearBuffers                 1ms
20:45:30.264 Transmit                     1ms #:GR#
20:45:30.344 ReceiveTerminated           79ms 21:38:56#
20:45:30.346 Connected Get                0ms True
20:45:30.348 ClearBuffers                 1ms
20:45:30.350 Transmit                     1ms #:GD#
20:45:30.424 ReceiveTerminated           73ms -01[DF]35:20#
20:45:30.426 Connected Get                0ms True
20:45:30.428 ClearBuffers                 1ms
20:45:30.430 Transmit                     1ms #:GS#
20:45:30.488 ReceiveTerminated           57ms 19:03:27#
20:45:30.489 Connected Get                0ms True
20:45:30.492 ClearBuffers                 1ms
20:45:30.494 Transmit                     1ms #:GS#
20:45:30.584 ReceiveTerminated           89ms 19:03:27#
20:45:31.299 Connected Get                0ms True
20:45:31.301 ClearBuffers                 1ms
20:45:31.303 Transmit                     1ms #:GR#
20:45:31.383 ReceiveTerminated           79ms 21:38:56#
20:45:31.385 Connected Get                0ms True
20:45:31.387 ClearBuffers                 1ms
20:45:31.389 Transmit                     1ms #:GD#
20:45:31.461 ReceiveTerminated           71ms -01[DF]35:20#
20:45:31.463 Connected Get                0ms True
20:45:31.465 ClearBuffers                 1ms
20:45:31.467 Transmit                     1ms #:GS#
20:45:31.509 ReceiveTerminated           41ms 19:03:28#
20:45:31.511 Connected Get                0ms True
20:45:31.513 ClearBuffers                 1ms
20:45:31.515 Transmit                     1ms #:GS#
20:45:31.589 ReceiveTerminated           73ms 19:03:28#
20:45:32.298 Connected Get                0ms True
20:45:32.300 ClearBuffers                 1ms
20:45:32.302 Transmit                     1ms #:GR#
20:45:32.372 ReceiveTerminated           69ms 21:38:56#
20:45:32.374 Connected Get                0ms True
20:45:32.376 ClearBuffers                 1ms
20:45:32.378 Transmit                     1ms #:GD#
20:45:32.452 ReceiveTerminated           73ms -01[DF]35:20#
20:45:32.454 Connected Get                0ms True
20:45:32.456 ClearBuffers                 1ms
20:45:32.458 Transmit                     1ms #:GS#
20:45:32.532 ReceiveTerminated           73ms 19:03:29#
20:45:32.534 Connected Get                0ms True
20:45:32.536 ClearBuffers                 1ms
20:45:32.538 Transmit                     1ms #:GS#
20:45:32.612 ReceiveTerminated           73ms 19:03:29#
20:45:32.834 Connected Get                0ms True
20:45:32.836 Connected Get                0ms True
20:45:32.838 ClearBuffers                 1ms
20:45:32.840 Transmit                     1ms #:RG#
20:45:32.841 Connected Get                0ms True
20:45:32.843 ClearBuffers                 1ms
20:45:32.845 Transmit                     1ms #:Mn#
20:45:33.326 Connected Get                0ms True
20:45:33.328 ClearBuffers                 1ms
20:45:33.330 Transmit                     1ms #:GR#
20:45:33.412 ReceiveTerminated           81ms 21:38:56#
20:45:33.414 Connected Get                0ms True
20:45:33.416 ClearBuffers                 1ms
20:45:33.418 Transmit                     1ms #:GD#
20:45:33.492 ReceiveTerminated           73ms -01[DF]35:19#
20:45:33.494 Connected Get                0ms True
20:45:33.496 ClearBuffers                 1ms
20:45:33.498 Transmit                     1ms #:GS#
20:45:33.570 ReceiveTerminated           71ms 19:03:30#
20:45:33.572 Connected Get                0ms True
20:45:33.574 ClearBuffers                 1ms
20:45:33.576 Transmit                     1ms #:GS#
20:45:33.650 ReceiveTerminated           73ms 19:03:30#
20:45:34.365 Connected Get                0ms True
20:45:34.367 ClearBuffers                 1ms
20:45:34.369 Transmit                     1ms #:GR#
20:45:34.449 ReceiveTerminated           79ms 21:38:56#
20:45:34.451 Connected Get                0ms True
20:45:34.453 ClearBuffers                 1ms
20:45:34.455 Transmit                     1ms #:GD#
20:45:34.529 ReceiveTerminated           73ms -01[DF]35:13#
20:45:34.531 Connected Get                0ms True
20:45:34.533 ClearBuffers                 1ms
20:45:34.535 Transmit                     1ms #:GS#
20:45:34.609 ReceiveTerminated           73ms 19:03:31#
20:45:34.611 Connected Get                0ms True
20:45:34.613 ClearBuffers                 1ms
20:45:34.615 Transmit                     1ms #:GS#
20:45:34.689 ReceiveTerminated           73ms 19:03:31#
20:45:35.404 Connected Get                0ms True
20:45:35.406 ClearBuffers                 1ms
20:45:35.408 Transmit                     1ms #:GR#
20:45:35.472 ReceiveTerminated           63ms 21:38:56#
20:45:35.474 Connected Get                0ms True
20:45:35.476 ClearBuffers                 1ms
20:45:35.478 Transmit                     1ms #:GD#
20:45:35.568 ReceiveTerminated           89ms -01[DF]35:05#
20:45:35.570 Connected Get                0ms True
20:45:35.572 ClearBuffers                 1ms
20:45:35.574 Transmit                     1ms #:GS#
20:45:35.648 ReceiveTerminated           73ms 19:03:32#
20:45:35.650 Connected Get                0ms True
20:45:35.652 ClearBuffers                 1ms
20:45:35.654 Transmit                     1ms #:GS#
20:45:35.728 ReceiveTerminated           73ms 19:03:32#
20:45:36.443 Connected Get                0ms True
20:45:36.445 ClearBuffers                 1ms
20:45:36.447 Transmit                     1ms #:GR#
20:45:36.527 ReceiveTerminated           79ms 21:38:56#
20:45:36.529 Connected Get                0ms True
20:45:36.531 ClearBuffers                 1ms
20:45:36.533 Transmit                     1ms #:GD#
20:45:36.623 ReceiveTerminated           89ms -01[DF]34:58#
20:45:36.625 Connected Get                0ms True
20:45:36.627 ClearBuffers                 1ms
20:45:36.629 Transmit                     1ms #:GS#
20:45:36.703 ReceiveTerminated           73ms 19:03:33#
20:45:36.705 Connected Get                0ms True
20:45:36.707 ClearBuffers                 1ms
20:45:36.709 Transmit                     1ms #:GS#
20:45:36.781 ReceiveTerminated           71ms 19:03:33#
20:45:37.496 Connected Get                0ms True
20:45:37.499 ClearBuffers                 2ms
20:45:37.501 Transmit                     1ms #:GR#
20:45:37.565 ReceiveTerminated           63ms 21:38:56#
20:45:37.567 Connected Get                0ms True
20:45:37.569 ClearBuffers                 1ms
20:45:37.571 Transmit                     1ms #:GD#
20:45:37.645 ReceiveTerminated           73ms -01[DF]34:49#
20:45:37.647 Connected Get                0ms True
20:45:37.649 ClearBuffers                 1ms
20:45:37.651 Transmit                     1ms #:GS#
20:45:37.725 ReceiveTerminated           73ms 19:03:34#
20:45:37.727 Connected Get                0ms True
20:45:37.729 ClearBuffers                 1ms
20:45:37.731 Transmit                     1ms #:GS#
20:45:37.805 ReceiveTerminated           73ms 19:03:34#
20:45:38.521 Connected Get                0ms True
20:45:38.523 ClearBuffers                 1ms
20:45:38.525 Transmit                     1ms #:GR#
20:45:38.605 ReceiveTerminated           79ms 21:38:56#
20:45:38.607 Connected Get                0ms True
20:45:38.609 ClearBuffers                 1ms
20:45:38.611 Transmit                     1ms #:GD#
20:45:38.685 ReceiveTerminated           73ms -01[DF]34:42#
20:45:38.687 Connected Get                0ms True
20:45:38.689 ClearBuffers                 1ms
