21:19:30.285 Port                      Set to: 3
21:19:30.285 Speed                     Set to: ps9600
21:19:30.286 ReceiveTimeout            Set to: 10 seconds
21:19:30.292 Set Connected To          True
21:19:30.292 Set Connected             Using COM port: COM3 Baud rate: ps9600 Timeout: 10000 DTR: True ForcedDTR: False RTS: False ForcedRTS: False Handshake: None Encoding: 1252
21:19:30.292 Set Connected             Transmission format - Bits: 8 Parity: None Stop bits: One
21:19:30.299 AvailableCOMPorts         COM1
21:19:30.299 AvailableCOMPorts         COM3
21:19:30.299 AvailableCOMPorts         COM9
21:19:30.308 Set Connected             OK
21:19:30.310 ClearBuffers              Completed
21:19:30.312 Transmit                  > #:GR#
21:19:30.314 ReceiveTerminated #       < 21:39.2#
21:19:30.402 ClearBuffers              Completed
21:19:30.404 ClearBuffers              Completed
21:19:30.406 Transmit                  > #:GR#
21:19:30.408 ReceiveTerminated #       < 21:39.2#
21:19:32.515 ClearBuffers              Completed
21:19:32.517 Transmit                  > #:U#
21:19:32.519 ClearBuffers              Completed
21:19:32.521 Transmit                  > #:GR#
21:19:32.523 ReceiveTerminated #       < 21:39:12#
21:19:32.682 ClearBuffers              Completed
21:19:32.684 Transmit                  > #:GR#
21:19:32.686 ReceiveTerminated #       < 21:39:12#
21:19:32.769 ClearBuffers              Completed
21:19:32.771 Transmit                  > #:GD#
21:19:32.773 ReceiveTerminated #       < -01[DF]36:33#
21:19:32.850 ClearBuffers              Completed
21:19:32.852 Transmit                  > #:GS#
21:19:32.854 ReceiveTerminated #       < 19:37:34#
21:19:32.928 ClearBuffers              Completed
21:19:32.930 Transmit                  > #:GS#
21:19:32.932 ReceiveTerminated #       < 19:37:34#
21:19:33.724 ClearBuffers              Completed
21:19:33.726 Transmit                  > #:GR#
21:19:33.728 ReceiveTerminated #       < 21:39:11#
21:19:33.806 ClearBuffers              Completed
21:19:33.808 Transmit                  > #:GD#
21:19:33.810 ReceiveTerminated #       < -01[DF]36:33#
21:19:33.886 ClearBuffers              Completed
21:19:33.888 Transmit                  > #:GS#
21:19:33.890 ReceiveTerminated #       < 19:37:35#
21:19:33.966 ClearBuffers              Completed
21:19:33.968 Transmit                  > #:GS#
21:19:33.970 ReceiveTerminated #       < 19:37:35#
21:19:34.760 ClearBuffers              Completed
21:19:34.762 Transmit                  > #:GR#
21:19:34.764 ReceiveTerminated #       < 21:39:11#
21:19:34.830 ClearBuffers              Completed
21:19:34.832 Transmit                  > #:GD#
21:19:34.834 ReceiveTerminated #       < -01[DF]36:33#
21:19:34.931 ClearBuffers              Completed
21:19:34.933 Transmit                  > #:GS#
21:19:34.935 ReceiveTerminated #       < 19:37:36#
21:19:35.069 ClearBuffers              Completed
21:19:35.070 Transmit                  > #:GS#
21:19:35.072 ReceiveTerminated #       < 19:37:36#
21:19:35.781 ClearBuffers              Completed
21:19:35.783 Transmit                  > #:GR#
21:19:35.785 ReceiveTerminated #       < 21:39:11#
21:19:35.868 ClearBuffers              Completed
21:19:35.870 Transmit                  > #:GD#
21:19:35.872 ReceiveTerminated #       < -01[DF]36:33#
21:19:35.948 ClearBuffers              Completed
21:19:35.950 Transmit                  > #:GS#
21:19:35.952 ReceiveTerminated #       < 19:37:37#
21:19:36.044 ClearBuffers              Completed
21:19:36.046 Transmit                  > #:GS#
21:19:36.048 ReceiveTerminated #       < 19:37:37#
21:19:36.873 ClearBuffers              Completed
21:19:36.875 Transmit                  > #:GR#
21:19:36.877 ReceiveTerminated #       < 21:39:12#
21:19:36.972 ClearBuffers              Completed
21:19:36.974 Transmit                  > #:GD#
21:19:36.976 ReceiveTerminated #       < -01[DF]36:33#
21:19:37.051 ClearBuffers              Completed
21:19:37.053 Transmit                  > #:GS#
21:19:37.055 ReceiveTerminated #       < 19:37:38#
21:19:37.131 ClearBuffers              Completed
21:19:37.133 Transmit                  > #:GS#
21:19:37.135 ReceiveTerminated #       < 19:37:38#
21:19:37.919 ClearBuffers              Completed
21:19:37.921 Transmit                  > #:GR#
21:19:37.923 ReceiveTerminated #       < 21:39:11#
21:19:38.009 ClearBuffers              Completed
21:19:38.011 Transmit                  > #:GD#
21:19:38.013 ReceiveTerminated #       < -01[DF]36:33#
21:19:38.121 ClearBuffers              Completed
21:19:38.123 Transmit                  > #:GS#
21:19:38.125 ReceiveTerminated #       < 19:37:39#
21:19:38.201 ClearBuffers              Completed
21:19:38.203 Transmit                  > #:GS#
21:19:38.205 ReceiveTerminated #       < 19:37:39#
21:19:38.994 ClearBuffers              Completed
21:19:38.996 Transmit                  > #:GR#
