21:19:30.284 Connected Get                0ms False
21:19:30.285 Port Set                     0ms 3
21:19:30.285 PortSpeed Set                0ms 9600
21:19:30.286 ReceiveTimeout Set           0ms 10
21:19:30.309 Connected Set               22ms True
21:19:30.310 Connected Get                0ms True
21:19:30.312 ClearBuffers                 1ms
21:19:30.314 Transmit                     1ms #:GR#
21:19:30.402 ReceiveTerminated           87ms 21:39.2#
21:19:30.404 ClearBuffers                 1ms
21:19:30.404 Connected Get                0ms True
21:19:30.406 ClearBuffers                 1ms
21:19:30.408 Transmit                     1ms #:GR#
21:19:30.514 ReceiveTerminated          105ms 21:39.2#
21:19:32.515 Connected Get                0ms True
21:19:32.517 ClearBuffers                 1ms
21:19:32.519 Transmit                     1ms #:U#
21:19:32.519 Connected Get                0ms True
21:19:32.521 ClearBuffers                 1ms
21:19:32.523 Transmit                     1ms #:GR#
21:19:32.639 ReceiveTerminated          115ms 21:39:12#
21:19:32.668 Connected Get                0ms True
21:19:32.682 Connected Get                0ms True
21:19:32.684 ClearBuffers                 1ms
21:19:32.686 Transmit                     1ms #:GR#
21:19:32.766 ReceiveTerminated           79ms 21:39:12#
21:19:32.769 Connected Get                0ms True
21:19:32.771 ClearBuffers                 1ms
21:19:32.773 Transmit                     1ms #:GD#
21:19:32.847 ReceiveTerminated           73ms -01[DF]36:33#
21:19:32.850 Connected Get                0ms True
21:19:32.852 ClearBuffers                 1ms
21:19:32.854 Transmit                     1ms #:GS#
21:19:32.926 ReceiveTerminated           71ms 19:37:34#
21:19:32.928 Connected Get                0ms True
21:19:32.930 ClearBuffers                 1ms
21:19:32.932 Transmit                     1ms #:GS#
21:19:33.006 ReceiveTerminated           73ms 19:37:34#
21:19:33.724 Connected Get                0ms True
21:19:33.726 ClearBuffers                 1ms
21:19:33.728 Transmit                     1ms #:GR#
21:19:33.804 ReceiveTerminated           75ms 21:39:11#
21:19:33.806 Connected Get                0ms True
21:19:33.808 ClearBuffers                 1ms
21:19:33.810 Transmit                     1ms #:GD#
21:19:33.884 ReceiveTerminated           73ms -01[DF]36:33#
21:19:33.886 Connected Get                0ms True
21:19:33.888 ClearBuffers                 1ms
21:19:33.890 Transmit                     1ms #:GS#
21:19:33.964 ReceiveTerminated           73ms 19:37:35#
21:19:33.966 Connected Get                0ms True
21:19:33.968 ClearBuffers                 1ms
21:19:33.970 Transmit                     1ms #:GS#
21:19:34.045 ReceiveTerminated           74ms 19:37:35#
21:19:34.760 Connected Get                0ms True
21:19:34.762 ClearBuffers                 1ms
21:19:34.764 Transmit                     1ms #:GR#
21:19:34.828 ReceiveTerminated           63ms 21:39:11#
21:19:34.830 Connected Get                0ms True
21:19:34.832 ClearBuffers                 1ms
21:19:34.834 Transmit                     1ms #:GD#
21:19:34.922 ReceiveTerminated           87ms -01[DF]36:33#
21:19:34.931 Connected Get                0ms True
21:19:34.933 ClearBuffers                 1ms
21:19:34.935 Transmit                     1ms #:GS#
21:19:35.003 ReceiveTerminated           67ms 19:37:36#
21:19:35.068 Connected Get                0ms True
21:19:35.070 ClearBuffers                 1ms
21:19:35.072 Transmit                     1ms #:GS#
21:19:35.162 ReceiveTerminated           89ms 19:37:36#
21:19:35.781 Connected Get                0ms True
21:19:35.783 ClearBuffers                 1ms
21:19:35.785 Transmit                     1ms #:GR#
21:19:35.865 ReceiveTerminated           79ms 21:39:11#
21:19:35.868 Connected Get                0ms True
21:19:35.870 ClearBuffers                 1ms
21:19:35.872 Transmit                     1ms #:GD#
21:19:35.946 ReceiveTerminated           73ms -01[DF]36:33#
21:19:35.948 Connected Get                0ms True
21:19:35.950 ClearBuffers                 1ms
21:19:35.952 Transmit                     1ms #:GS#
21:19:36.042 ReceiveTerminated           89ms 19:37:37#
21:19:36.044 Connected Get                0ms True
21:19:36.046 ClearBuffers                 1ms
21:19:36.048 Transmit                     1ms #:GS#
21:19:36.122 ReceiveTerminated           73ms 19:37:37#
21:19:36.873 Connected Get                0ms True
21:19:36.875 ClearBuffers                 1ms
21:19:36.877 Transmit                     1ms #:GR#
21:19:36.969 ReceiveTerminated           91ms 21:39:12#
21:19:36.972 Connected Get                0ms True
21:19:36.974 ClearBuffers                 1ms
21:19:36.976 Transmit                     1ms #:GD#
21:19:37.048 ReceiveTerminated           71ms -01[DF]36:33#
21:19:37.051 Connected Get                0ms True
21:19:37.053 ClearBuffers                 1ms
21:19:37.055 Transmit                     1ms #:GS#
21:19:37.129 ReceiveTerminated           73ms 19:37:38#
21:19:37.131 Connected Get                0ms True
21:19:37.133 ClearBuffers                 1ms
21:19:37.135 Transmit                     1ms #:GS#
21:19:37.209 ReceiveTerminated           73ms 19:37:38#
21:19:37.919 Connected Get                0ms True
21:19:37.921 ClearBuffers                 1ms
21:19:37.923 Transmit                     1ms #:GR#
21:19:38.007 ReceiveTerminated           83ms 21:39:11#
21:19:38.009 Connected Get                0ms True
21:19:38.011 ClearBuffers                 1ms
21:19:38.013 Transmit                     1ms #:GD#
21:19:38.119 ReceiveTerminated          105ms -01[DF]36:33#
21:19:38.121 Connected Get                0ms True
21:19:38.123 ClearBuffers                 1ms
21:19:38.125 Transmit                     1ms #:GS#
21:19:38.199 ReceiveTerminated           73ms 19:37:39#
21:19:38.201 Connected Get                0ms True
21:19:38.203 ClearBuffers                 1ms
21:19:38.205 Transmit                     1ms #:GS#
21:19:38.279 ReceiveTerminated           73ms 19:37:39#
21:19:38.994 Connected Get                0ms True
21:19:38.996 ClearBuffers                 1ms
21:19:38.998 Transmit                     1ms #:GR#
21:19:39.078 ReceiveTerminated           79ms 21:39:11#
21:19:39.080 Connected Get                0ms True
21:19:39.082 ClearBuffers                 1ms
21:19:39.084 Transmit                     1ms #:GD#
21:19:39.142 ReceiveTerminated           57ms -01[DF]36:33#
21:19:39.144 Connected Get                0ms True
21:19:39.146 ClearBuffers                 1ms
21:19:39.148 Transmit                     1ms #:GS#
21:19:39.206 ReceiveTerminated           57ms 19:37:40#
21:19:39.208 Connected Get                0ms True
21:19:39.210 ClearBuffers                 1ms
21:19:39.212 Transmit                     1ms #:GS#
21:19:39.254 ReceiveTerminated           41ms 19:37:40#
21:19:40.073 Connected Get                0ms True
21:19:40.075 ClearBuffers                 1ms
21:19:40.077 Transmit                     1ms #:GR#
21:19:40.165 ReceiveTerminated           87ms 21:39:12#
