21:48:42.166 Transmit                  > #:GR#
21:48:42.168 ReceiveTerminated #       < 21:39:18#
21:48:42.267 ClearBuffers              Completed
21:48:42.269 Transmit                  > #:GD#
21:48:42.271 ReceiveTerminated #       < -01[DF]38:11#
21:48:42.377 ClearBuffers              Completed
21:48:42.379 Transmit                  > #:GS#
21:48:42.381 ReceiveTerminated #       < 20:06:48#
21:48:42.425 ClearBuffers              Completed
21:48:42.427 Transmit                  > #:GS#
21:48:42.429 ReceiveTerminated #       < 20:06:49#
21:48:43.203 ClearBuffers              Completed
21:48:43.205 Transmit                  > #:GR#
21:48:43.207 ReceiveTerminated #       < 21:39:18#
21:48:43.305 ClearBuffers              Completed
21:48:43.307 Transmit                  > #:GD#
21:48:43.309 ReceiveTerminated #       < -01[DF]38:02#
21:48:43.417 ClearBuffers              Completed
21:48:43.419 Transmit                  > #:GS#
21:48:43.421 ReceiveTerminated #       < 20:06:49#
21:48:43.465 ClearBuffers              Completed
21:48:43.467 Transmit                  > #:GS#
21:48:43.469 ReceiveTerminated #       < 20:06:50#
21:48:44.243 ClearBuffers              Completed
21:48:44.244 Transmit                  > #:GR#
21:48:44.246 ReceiveTerminated #       < 21:39:18#
21:48:44.342 ClearBuffers              Completed
21:48:44.344 Transmit                  > #:GD#
21:48:44.346 ReceiveTerminated #       < -01[DF]37:55#
21:48:44.422 ClearBuffers              Completed
21:48:44.424 Transmit                  > #:GS#
21:48:44.426 ReceiveTerminated #       < 20:06:51#
21:48:44.486 ClearBuffers              Completed
21:48:44.488 Transmit                  > #:GS#
21:48:44.490 ReceiveTerminated #       < 20:06:51#
21:48:45.276 ClearBuffers              Completed
21:48:45.278 Transmit                  > #:GR#
21:48:45.280 ReceiveTerminated #       < 21:39:18#
21:48:45.368 ClearBuffers              Completed
21:48:45.370 Transmit                  > #:GR#
21:48:45.372 ReceiveTerminated #       < 21:39:18#
21:48:45.462 ClearBuffers              Completed
21:48:45.464 Transmit                  > #:GD#
21:48:45.466 ReceiveTerminated #       < -01[DF]37:47#
21:48:45.542 ClearBuffers              Completed
21:48:45.544 Transmit                  > #:GR#
21:48:45.546 ReceiveTerminated #       < 21:39:18#
21:48:45.622 ClearBuffers              Completed
21:48:45.624 Transmit                  > #:GD#
21:48:45.626 ReceiveTerminated #       < -01[DF]37:46#
21:48:45.702 ClearBuffers              Completed
21:48:45.704 Transmit                  > #:Q#
21:48:45.718 ClearBuffers              Completed
21:48:45.720 Transmit                  > #:GD#
21:48:45.722 ReceiveTerminated #       < -01[DF]37:44#
21:48:45.828 ClearBuffers              Completed
21:48:45.830 Transmit                  > #:GS#
21:48:45.832 ReceiveTerminated #       < 20:06:52#
21:48:45.940 ClearBuffers              Completed
21:48:45.942 Transmit                  > #:GS#
21:48:45.944 ReceiveTerminated #       < 20:06:52#
21:48:46.458 ClearBuffers              Completed
21:48:46.460 Transmit                  > #:GR#
21:48:46.462 ReceiveTerminated #       < 21:39:18#
21:48:46.564 ClearBuffers              Completed
21:48:46.566 Transmit                  > #:GD#
21:48:46.568 ReceiveTerminated #       < -01[DF]37:44#
21:48:46.671 ClearBuffers              Completed
21:48:46.673 Transmit                  > #:GS#
21:48:46.675 ReceiveTerminated #       < 20:06:53#
21:48:46.741 ClearBuffers              Completed
21:48:46.743 Transmit                  > #:RG#
21:48:46.748 ClearBuffers              Completed
21:48:46.750 Transmit                  > #:GS#
21:48:46.752 ReceiveTerminated #       < 20:06:53#
21:48:47.411 ClearBuffers              Completed
21:48:47.413 Transmit                  > #:GR#
21:48:47.415 ReceiveTerminated #       < 21:39:19#
21:48:47.524 ClearBuffers              Completed
21:48:47.526 Transmit                  > #:GD#
21:48:47.528 ReceiveTerminated #       < -01[DF]37:44#
21:48:47.619 ClearBuffers              Completed
21:48:47.621 Transmit                  > #:GS#
21:48:47.623 ReceiveTerminated #       < 20:06:54#
21:48:47.683 ClearBuffers              Completed
21:48:47.685 Transmit                  > #:GS#
21:48:47.687 ReceiveTerminated #       < 20:06:54#
21:48:48.488 ClearBuffers              Completed
21:48:48.490 Transmit                  > #:GR#
21:48:48.492 ReceiveTerminated #       < 21:39:20#
21:48:48.562 ClearBuffers              Completed
21:48:48.564 Transmit                  > #:GD#
21:48:48.566 ReceiveTerminated #       < -01[DF]37:44#
21:48:48.658 ClearBuffers              Completed
21:48:48.660 Transmit                  > #:GS#
21:48:48.662 ReceiveTerminated #       < 20:06:55#
21:48:48.738 ClearBuffers              Completed
21:48:48.740 Transmit                  > #:GS#
21:48:48.742 ReceiveTerminated #       < 20:06:55#
21:48:49.531 ClearBuffers              Completed
21:48:49.533 Transmit                  > #:GR#
21:48:49.535 ReceiveTerminated #       < 21:39:21#
21:48:49.601 ClearBuffers              Completed
21:48:49.603 Transmit                  > #:GD#
21:48:49.605 ReceiveTerminated #       < -01[DF]37:44#
21:48:49.697 ClearBuffers              Completed
21:48:49.699 Transmit                  > #:GS#
21:48:49.701 ReceiveTerminated #       < 20:06:56#
21:48:49.775 ClearBuffers              Completed
21:48:49.777 Transmit                  > #:GS#
21:48:49.779 ReceiveTerminated #       < 20:06:56#
21:48:50.568 ClearBuffers              Completed
21:48:50.570 Transmit                  > #:GR#
21:48:50.572 ReceiveTerminated #       < 21:39:21#
21:48:50.638 ClearBuffers              Completed
21:48:50.640 Transmit                  > #:GD#
21:48:50.642 ReceiveTerminated #       < -01[DF]37:44#
21:48:50.734 ClearBuffers              Completed
21:48:50.736 Transmit                  > #:GS#
21:48:50.738 ReceiveTerminated #       < 20:06:57#
21:48:50.814 ClearBuffers              Completed
21:48:50.816 Transmit                  > #:GS#
21:48:50.818 ReceiveTerminated #       < 20:06:57#
21:48:51.607 ClearBuffers              Completed
21:48:51.609 Transmit                  > #:GR#
21:48:51.611 ReceiveTerminated #       < 21:39:21#
21:48:51.677 ClearBuffers              Completed
21:48:51.679 Transmit                  > #:GD#
21:48:51.681 ReceiveTerminated #       < -01[DF]37:44#
21:48:51.757 ClearBuffers              Completed
21:48:51.759 Transmit                  > #:GS#
21:48:51.761 ReceiveTerminated #       < 20:06:58#
21:48:51.853 ClearBuffers              Completed
21:48:51.855 Transmit                  > #:GS#
21:48:51.857 ReceiveTerminated #       < 20:06:58#
21:48:52.646 ClearBuffers              Completed
21:48:52.648 Transmit                  > #:GR#
21:48:52.650 ReceiveTerminated #       < 21:39:21#
21:48:52.716 ClearBuffers              Completed
21:48:52.718 Transmit                  > #:GD#
21:48:52.720 ReceiveTerminated #       < -01[DF]37:44#
21:48:52.796 ClearBuffers              Completed
21:48:52.798 Transmit                  > #:GS#
21:48:52.800 ReceiveTerminated #       < 20:06:59#
21:48:52.860 ClearBuffers              Completed
21:48:52.862 Transmit                  > #:GS#
21:48:52.864 ReceiveTerminated #       < 20:06:59#
21:48:53.653 ClearBuffers              Completed
21:48:53.655 Transmit                  > #:GR#
21:48:53.657 ReceiveTerminated #       < 21:39:20#
21:48:53.769 ClearBuffers              Completed
21:48:53.771 Transmit                  > #:GD#
21:48:53.773 ReceiveTerminated #       < -01[DF]37:44#
21:48:53.849 ClearBuffers              Completed
21:48:53.851 Transmit                  > #:GS#
21:48:53.853 ReceiveTerminated #       < 20:07:00#
21:48:53.897 ClearBuffers              Completed
21:48:53.899 Transmit                  > #:GS#
21:48:53.901 ReceiveTerminated #       < 20:07:00#
21:48:54.656 ClearBuffers              Completed
21:48:54.657 Transmit                  > #:GR#
21:48:54.659 ReceiveTerminated #       < 21:39:20#
21:48:54.729 ClearBuffers              Completed
21:48:54.731 Transmit                  > #:GD#
21:48:54.733 ReceiveTerminated #       < -01[DF]37:44#
21:48:54.809 ClearBuffers              Completed
21:48:54.811 Transmit                  > #:GS#
21:48:54.813 ReceiveTerminated #       < 20:07:01#
21:48:54.873 ClearBuffers              Completed
21:48:54.875 Transmit                  > #:GS#
21:48:54.877 ReceiveTerminated #       < 20:07:01#
21:48:55.744 ClearBuffers              Completed
21:48:55.746 Transmit                  > #:GR#
21:48:55.748 ReceiveTerminated #       < 21:39:20#
21:48:55.848 ClearBuffers              Completed
