20:58:34.552 Port                      Set to: 3
20:58:34.552 Speed                     Set to: ps9600
20:58:34.552 ReceiveTimeout            Set to: 10 seconds
20:58:34.559 Set Connected To          True
20:58:34.559 Set Connected             Using COM port: COM3 Baud rate: ps9600 Timeout: 10000 DTR: True ForcedDTR: False RTS: False ForcedRTS: False Handshake: None Encoding: 1252
20:58:34.559 Set Connected             Transmission format - Bits: 8 Parity: None Stop bits: One
20:58:34.566 AvailableCOMPorts         COM1
20:58:34.566 AvailableCOMPorts         COM3
20:58:34.566 AvailableCOMPorts         COM9
20:58:34.571 Set Connected             OK
20:58:34.573 ClearBuffers              Completed
20:58:34.575 Transmit                  > #:GR#
20:58:34.577 ReceiveTerminated #       < 21:39.1#
20:58:34.633 ClearBuffers              Completed
20:58:34.635 ClearBuffers              Completed
20:58:34.637 Transmit                  > #:GR#
20:58:34.639 ReceiveTerminated #       < 21:39.1#
20:58:36.714 ClearBuffers              Completed
20:58:36.716 Transmit                  > #:U#
20:58:36.718 ClearBuffers              Completed
20:58:36.720 Transmit                  > #:GR#
20:58:36.722 ReceiveTerminated #       < 21:39:04#
20:58:36.876 ClearBuffers              Completed
20:58:36.878 Transmit                  > #:GR#
20:58:36.880 ReceiveTerminated #       < 21:39:04#
20:58:36.969 ClearBuffers              Completed
20:58:36.971 Transmit                  > #:GD#
20:58:36.973 ReceiveTerminated #       < -01[DF]36:05#
20:58:37.049 ClearBuffers              Completed
20:58:37.051 Transmit                  > #:GS#
20:58:37.053 ReceiveTerminated #       < 19:16:35#
20:58:37.127 ClearBuffers              Completed
20:58:37.130 Transmit                  > #:GS#
20:58:37.132 ReceiveTerminated #       < 19:16:35#
20:58:37.927 ClearBuffers              Completed
20:58:37.929 Transmit                  > #:GR#
20:58:37.931 ReceiveTerminated #       < 21:39:04#
20:58:38.007 ClearBuffers              Completed
20:58:38.009 Transmit                  > #:GD#
20:58:38.011 ReceiveTerminated #       < -01[DF]36:05#
20:58:38.087 ClearBuffers              Completed
20:58:38.089 Transmit                  > #:GS#
20:58:38.091 ReceiveTerminated #       < 19:16:36#
20:58:38.167 ClearBuffers              Completed
20:58:38.169 Transmit                  > #:GS#
20:58:38.171 ReceiveTerminated #       < 19:16:36#
20:58:38.958 ClearBuffers              Completed
20:58:38.960 Transmit                  > #:GR#
20:58:38.962 ReceiveTerminated #       < 21:39:04#
20:58:39.030 ClearBuffers              Completed
20:58:39.032 Transmit                  > #:GD#
20:58:39.034 ReceiveTerminated #       < -01[DF]36:05#
20:58:39.127 ClearBuffers              Completed
20:58:39.129 Transmit                  > #:GS#
20:58:39.131 ReceiveTerminated #       < 19:16:37#
20:58:39.205 ClearBuffers              Completed
20:58:39.207 Transmit                  > #:GS#
20:58:39.209 ReceiveTerminated #       < 19:16:37#
20:58:39.993 ClearBuffers              Completed
20:58:39.995 Transmit                  > #:GR#
20:58:39.997 ReceiveTerminated #       < 21:39:04#
20:58:40.069 ClearBuffers              Completed
20:58:40.071 Transmit                  > #:GD#
20:58:40.073 ReceiveTerminated #       < -01[DF]36:05#
20:58:40.150 ClearBuffers              Completed
20:58:40.152 Transmit                  > #:GS#
20:58:40.154 ReceiveTerminated #       < 19:16:38#
20:58:40.244 ClearBuffers              Completed
20:58:40.246 Transmit                  > #:GS#
20:58:40.248 ReceiveTerminated #       < 19:16:39#
20:58:41.055 ClearBuffers              Completed
20:58:41.057 Transmit                  > #:GR#
20:58:41.059 ReceiveTerminated #       < 21:39:04#
20:58:41.172 ClearBuffers              Completed
20:58:41.174 Transmit                  > #:GD#
20:58:41.176 ReceiveTerminated #       < -01[DF]36:05#
20:58:41.250 ClearBuffers              Completed
20:58:41.252 Transmit                  > #:GS#
20:58:41.254 ReceiveTerminated #       < 19:16:40#
20:58:41.331 ClearBuffers              Completed
20:58:41.333 Transmit                  > #:GS#
